"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
tgfbr1a,"TGFBR1, ALK5","transforming growth factor, beta receptor 1 a",transforming growth factor beta receptor 1a,ENSDARG00000017494,ZDB-GENE-051120-75,2,23856045.0,23931536.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type I receptor transducing TGF-beta/myostatin signals to SMAD2/3,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tgfbr1a,C,False,False,blast_ortholog,high,tgfbr1b,NC_069710.1,6838496.0,6914280.0,BLAST ortholog (protein XP_026770239.1),chr1,ok,chr1:6838496-6914280,
tgfbr2b,TGFBR2; tgfbr2,transforming growth factor beta receptor 2b,transforming growth factor beta receptor 2,ENSDARG00000034541,ZDB-GENE-980526-375,16,39505163.0,39605661.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Type II receptor for TGF-beta ligands,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tgfbr2b,C,False,False,direct_symbol_match,high,tgfbr2b,NC_069710.1,2642493.0,2662753.0,,chr1,ok,chr1:2642493-2662753,
thbs1b,THBS1; thbs1a,thrombospondin 1b,thrombospondin 1a,ENSDARG00000010785,ZDB-GENE-020708-1,20,29036328.0,29052391.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / angiogenesis,Body weight,GWAS/QTL,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oncorhynchus mykiss; Danio rerio,Omy15,"Top single-marker association for body weight gain in rainbow trout (R2 = 0.09, ~9% of variation), ahead of MAP4 (~6%). Angiogenesis and tissue development. Note: single-marker R2, not a genomic-window estimate.",Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,thbs1b,A,False,False,direct_symbol_match,high,thbs1b,NC_069728.1,10679568.0,10688799.0,,chr19,ok,chr19:10679568-10688799,
thraa,THRA,thyroid hormone receptor alpha a,thyroid hormone receptor alpha a,ENSDARG00000000151,ZDB-GENE-990415-263,3,34688022.0,34753605.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Growth rate; muscle development,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Paralichthys olivaceus,,Nuclear receptor mediating T3 effects on growth and development,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,thraa,C,False,False,blast_ortholog,high,thrab,NC_069721.1,22804555.0,22962665.0,BLAST ortholog (protein XP_053094679.1),chr12,ok,chr12:22804555-22962665,
thrb,THRB,thyroid hormone receptor beta,thyroid hormone receptor beta,ENSDARG00000021163,ZDB-GENE-990415-268,19,17514631.0,17658253.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Harvest body weight (differential expression),Expression,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio,"chr19:338,329 (C/T, intronic; L. rohita)","Mediates T3 control of muscle development and metabolism. An intronic cSNP at chr19:338,329 sits in a differentially expressed transcript. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita",10.3389/fgene.2023.1153911,37359361,teleost,thrb,B,False,False,direct_symbol_match,high,thrb,NC_069738.1,10421795.0,10541216.0,,chr29,ok,chr29:10421795-10541216,
tial1,TIAL1,TIA1 cytotoxic granule-associated RNA binding protein-like 1,TIA1 cytotoxic granule-associated RNA binding protein-like 1,ENSDARG00000009525,ZDB-GENE-040426-1547,13,25472005.0,25484752.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",RNA binding,Growth traits,GWAS/QTL,"B - verified primary study, supporting evidence","Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Downgraded: positional mention only, not presented as a candidate gene by the paper.",Paralichthys olivaceus; Danio rerio,chr14,RNA-binding translational regulator in growth-associated region. NOTE: the flounder paper lists this gene only as sitting within a chromosome-14 SNP region; it does not characterise it as a growth candidate.,Liang S et al. (2026) Biology 15:1246,Genetic dissection of growth traits and identification of candidate genes in Japanese flounder (Paralichthys olivaceus) using single- and multi-trait genome-wide association analyses,10.3390/biology15151246,,teleost,tial1,B,False,False,direct_symbol_match,high,tial1,NC_069712.1,13709513.0,13718236.0,,chr3,ok,chr3:13709513-13718236,
tmed5,TMED5,transmembrane p24 trafficking protein 5,transmembrane p24 trafficking protein 5,ENSDARG00000008765,ZDB-GENE-040426-1302,20,14789148.0,14806671.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Vesicle trafficking,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy4,Trafficking protein in growth-associated window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,tmed5,A,False,False,direct_symbol_match,high,tmed5,NC_069728.1,5379846.0,5385386.0,,chr19,ok,chr19:5379846-5385386,
tmprss9,TMPRSS9,transmembrane serine protease 9,transmembrane serine protease 9,ENSDARG00000029841,ZDB-GENE-050208-573,22,10757848.0,10770418.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Digestion,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed as a candidate gene in the grass carp paper.,Ctenopharyngodon idella; Danio rerio,,"Protein hydrolysis enzyme participating in food digestion. The study analysed body weight, body length, body height and body depth, and reported 90 significant SNPs across 14 chromosomes.",Chen Y et al. (2025) Animals 15:1888,Genome-wide association analysis and genomic selection for growth traits in grass carp (Ctenopharyngodon idella),10.3390/ani15131888,,teleost,tmprss9,A,False,False,direct_symbol_match,high,tmprss9,NC_069720.1,12361881.0,12379406.0,,chr11,ok,chr11:12361881-12379406,
tnmd,"TNMD, tenomodulin",tenomodulin,tenomodulin,ENSDARG00000052615,ZDB-GENE-080220-31,14,40641350.0,40722928.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / tendon,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Essential for tenocyte proliferation; within growth-associated window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,tnmd,A,False,False,direct_symbol_match,high,tnmd,NC_069716.1,14117540.0,14158808.0,,chr7,ok,chr7:14117540-14158808,
tnnt3a,TNNT3,"troponin T type 3a (skeletal, fast)","troponin T type 3a (skeletal, fast)",ENSDARG00000030270,ZDB-GENE-000322-3,25,31405266.0,31418457.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Fast-muscle troponin T; contractile regulation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tnnt3a,C,False,False,direct_symbol_match,high,tnnt3a,NC_069718.1,14198525.0,14206027.0,,chr9,ok,chr9:14198525-14206027,
trh,TRH,thyrotropin-releasing hormone,thyrotropin releasing hormone,ENSDARG00000006868,ZDB-GENE-020930-1,8,54220551.0,54223316.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Growth rate; feed intake,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,"Hypothalamic regulator of TSH and, in fish, of GH release",No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,trh,C,False,False,direct_symbol_match,high,trh,NC_069717.1,22015286.0,22018202.0,,chr8,ok,chr8:22015286-22018202,
trim63a,"TRIM63, MuRF1",tripartite motif containing 63a,tripartite motif containing 63a,ENSDARG00000028027,ZDB-GENE-040625-139,6,15651977.0,15653494.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Ubiquitin-proteasome atrophy,Muscle atrophy,Pathway core; Expression,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,MuRF1 atrophy E3 ligase targeting thick-filament proteins,Seiliez I et al. (2008) Journal of Nutrition 138:487-491,Feeding status regulates the polyubiquitination step of the ubiquitin-proteasome-dependent proteolysis in rainbow trout muscle,10.1093/jn/138.3.487,18287354,teleost,trim63a,B,False,False,direct_symbol_match,high,trim63a,NC_069711.1,26633999.0,26635637.0,,chr2,ok,chr2:26633999-26635637,
trim63b,MuRF1b,tripartite motif containing 63b,tripartite motif containing 63b,ENSDARG00000086685,ZDB-GENE-040426-1003,9,23900703.0,23902215.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Ubiquitin-proteasome atrophy,Muscle atrophy,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated MuRF1 paralogue,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,trim63b,C,False,False,direct_symbol_match,high,trim63b,NC_069714.1,2160981.0,2162570.0,,chr5,ok,chr5:2160981-2162570,
tsc1a,TSC1,TSC complex subunit 1a,TSC complex subunit 1a,ENSDARG00000026048,ZDB-GENE-030131-9111,5,29652198.0,29672144.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,mTOR / protein synthesis,Body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,mTORC1 inhibitor; growth brake,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tsc1a,C,False,False,direct_symbol_match,high,tsc1a,NC_069733.1,14727896.0,14738916.0,,chr24,ok,chr24:14727896-14738916,
tsc2,TSC2,TSC complex subunit 2,TSC complex subunit 2,ENSDARG00000103125,ZDB-GENE-030131-2702,1,54198893.0,54274861.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,mTOR / PI3K-AKT & translation,mTOR / protein synthesis,Body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,GTPase-activating protein restraining RHEB and mTORC1,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tsc2,C,False,False,direct_symbol_match,high,tsc2,NC_069735.1,15658765.0,15706493.0,,chr26,ok,chr26:15658765-15706493,
tshba,TSHB,thyroid stimulating hormone subunit beta a,"thyroid stimulating hormone, beta subunit a",ENSDARG00000033726,ZDB-GENE-030513-3,6,49081141.0,49085296.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Growth rate; metamorphosis,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Paralichthys olivaceus,,Pituitary driver of thyroid hormone synthesis; controls flatfish metamorphosis and somatic growth,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tshba,C,False,False,direct_symbol_match,high,tshba,NC_069711.1,13431328.0,13437067.0,,chr2,ok,chr2:13431328-13437067,
tshr,TSHR,thyroid stimulating hormone receptor,thyroid stimulating hormone receptor,ENSDARG00000037195,ZDB-GENE-110524-4,20,6035427.0,6079923.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Growth rate,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Receptor mediating TSH stimulation of the thyroid,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tshr,C,False,False,direct_symbol_match,high,tshr,NC_069739.1,12517996.0,12543237.0,,chr30,ok,chr30:12517996-12543237,
ttn.1,"TTN, titin","titin, tandem duplicate 1","titin, tandem duplicate 1",ENSDARG00000000563,ZDB-GENE-030616-413,9,42732992.0,42873700.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Harvest body weight (differential expression),Expression,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio,"chr17:9,379,989 (T/C, splice donor) and chr17:9,380,005 (C/T, missense; L. rohita)","Sarcomere scaffold determining muscle elasticity. A splice-donor and a missense cSNP sit in a titin transcript differentially expressed with harvest body weight. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita",10.3389/fgene.2023.1153911,37359361,teleost,ttn.1,B,False,False,direct_symbol_match,high,ttn.1,NC_069714.1,27141446.0,27284406.0,,chr5,ok,chr5:27141446-27284406,
